id,question
1,Explain your logic in the game when you were Player 2 and had a chance to choose your partner.
2,Explain your logic in the game when you were Player 2 and the computer chose another player to dictate who plays with whom.
3,Explain your logic in the game when you were Player 2 and the computer decided who played with whom.
4,Type in any comments you have about the experiment.
