id,question
1,"Любая сумма, предложенная игроком 1 игроку 2, увеличивается в два раза: если игрок 1 предложит x жетонов из 100 и игрок 2 согласится, игрок 2 получает 2*x жетонов, в то время как игрок 1 получает 100-x жетонов."
2,"Любая сумма, предложенная игроком 1 игроку 2, делится на два: если игрок 1 предложит x жетонов из 100 и игрок 2 согласится, игрок 2 получает x/2 жетонов, в то время как игрок 1 получает 100-x жетонов."
3,"Когда игрок 2 выбирает игру 1 в игре 3, игрок 1 делит 100 жетонов (как и раньше). Однако, когда игрок 2 выбирает игру 2, игрок 1 делит 200 жетонов."
4,"Когда игрок 2 выбирает игру 1 в игре 3, игрок 1 делит 200 жетонов; когда игрок 2 выбирает игру 2, игрок 1 делит 100 жетонов."
5,"Предложение игрока 1 в игре 3 определяется его предложением в играх 1 и 2. Другими словами, делая предложение, игрок 1 не знает, была ли данная игра выбрана игроком 2 или же компьютером."
6,"Отказ от предложения не изменяет выигрыша игрока 1: если предложение x отклонено, игрок 2 получает 0 жетонов, в то время как игрок 1 получает 100-x жетонов."
